"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 17:05:33 BRT 2023","Wed Apr 26 17:05:37 BRT 2023","3621","","Tests finding order feature","","","","Finding order by email and verifying its price",""
"failed","Wed Apr 26 17:04:57 BRT 2023","Wed Apr 26 17:05:12 BRT 2023","14619","","Testing Cart","","","","Adding product to cart from search",""
"failed","Wed Apr 26 17:06:36 BRT 2023","Wed Apr 26 17:06:48 BRT 2023","12280","","Testing checkout page and ordering a product","","","","Visits the home page and logs in",""
"passed","Thu Apr 27 13:06:23 BRT 2023","Thu Apr 27 13:06:31 BRT 2023","8363","","Tests login features","","","","Normal Log In filling in email an password",""
"passed","Wed Apr 26 17:06:48 BRT 2023","Wed Apr 26 17:07:27 BRT 2023","38568","","Testing checkout page and ordering a product","","","","Reoders a product when you are logged in your account",""
"failed","Thu Apr 27 13:06:31 BRT 2023","Thu Apr 27 13:06:40 BRT 2023","8300","","Tests login features","","","","Login with wrong email and password",""
"passed","Thu Apr 27 13:06:40 BRT 2023","Thu Apr 27 13:06:55 BRT 2023","15130","","Tests login features","","","","Login testing required fields",""
"failed","Wed Apr 26 17:04:33 BRT 2023","Wed Apr 26 17:04:57 BRT 2023","24367","","Testing Cart","","","","Adding product to cart from a category",""
"failed","Wed Apr 26 17:04:20 BRT 2023","Wed Apr 26 17:04:33 BRT 2023","12135","","Testing Cart","","","","Adding product to cart from home page",""
"passed","Wed Apr 26 17:05:37 BRT 2023","Wed Apr 26 17:05:39 BRT 2023","2758","","Tests finding order feature","","","","Finding order by zip, and verifying its price",""
